weeks,Country,City,account_manager_name,business_segment,spend_objective,brand_name,provider_id,vendor_id,vendor_name,bolt_spend,provider_spend
2026-W08,AZ,Baku,Asmar Mirzəyeva,Mid-market,provider_campaign_portal,ATABEY CHIG KOFTE,77034,22455,Atabey Chig Kofte,0.0,18.42
2026-W08,AZ,Baku,Lala Gulu-Zada,Mid-market,provider_campaign_manual_churn_prevention,CUPPA COFFEE,158106,27210,Cuppa Coffee,0.0,8.15
2026-W08,AZ,Baku,Aliya Khudaverdiyeva,Enterprise,sp_engagement,PIZZA HUT,109778,24736,Pizza Hut,79.26,87.26
2026-W08,AZ,Baku,Aliya Khudaverdiyeva,Enterprise,sp_reactivation,PIZZA HUT,115683,24736,Pizza Hut,75.09,75.09
2026-W08,AZ,Baku,Aliya Khudaverdiyeva,Enterprise,sp_reactivation,PIZZA HUT,109778,24736,Pizza Hut,52.43,52.43
2026-W08,AZ,Baku,Aliya Khudaverdiyeva,Enterprise,sp_engagement,PIZZA HUT,115683,24736,Pizza Hut,45.99,47.69
2026-W08,AZ,Baku,Shahana Aghayava,SMB,sp_engagement,SUSHI SAMURAI,16673,12048,Sushi Samurai,8.82,32.18
2026-W08,AZ,Baku,Aliya Khudaverdiyeva,Enterprise,sp_activation,PIZZA HUT,109778,24736,Pizza Hut,6.95,6.95
2026-W08,AZ,Baku,Aliya Khudaverdiyeva,Enterprise,activation,PIZZA HUT,109778,24736,Pizza Hut,2.25,0.68
2026-W08,AZ,Sumqayit,Asmar Mirzəyeva,Mid-market,reactivation,ATABEY CHIG KOFTE,116811,83851,Atabey Cig Kofte Sumgait,4.42,0.0
2026-W08,AZ,Sumqayit,Asmar Mirzəyeva,Mid-market,engagement,ATABEY CHIG KOFTE,116811,83851,Atabey Cig Kofte Sumgait,2.91,0.0
2026-W08,AZ,Baku,Shahana Aghayava,SMB,liquidity,SUSHI SAMURAI,16673,12048,Sushi Samurai,1.15,0.0
2026-W08,AZ,Baku,Asmar Mirzəyeva,Mid-market,sp_engagement,MERKEZ LAHMACUN,125678,46131,Merkez Lahmajun,64.37,243.09
2026-W08,AZ,Sumqayit,Shahana Aghayava,SMB,sp_engagement,OYY LAHMAJUU,164767,123149,OYY LAHMAJUU Sumqayit,2.9,6.38
2026-W08,AZ,Baku,Asmar Mirzəyeva,Mid-market,provider_campaign_portal,MERKEZ LAHMACUN,125678,46131,Merkez Lahmajun,0.0,127.73
2026-W08,AZ,Baku,Shahana Aghayava,SMB,liquidity,ADANA RESTAURANT,28138,19921,Adana Nesimi,3.55,0.0
2026-W08,AZ,Baku,Aliya Khudaverdiyeva,Enterprise,engagement,PIZZA MIZZA,34648,15003,Pizza Mizza,23.26,23.26
2026-W08,AZ,Sumqayit,Shahana Aghayava,SMB,provider_campaign_portal,OYY LAHMAJUU,164767,123149,OYY LAHMAJUU Sumqayit,0.0,88.49
2026-W08,AZ,Baku,Elmir Guliyev,Mid-market,provider_campaign_manual_churn_prevention,DINNER DONER,19483,14152,Dinner Doner,8.19,0.0
2026-W08,AZ,Baku,Elmir Guliyev,Mid-market,activation,DINNER DONER,19483,14152,Dinner Doner,10.94,0.0
2026-W08,AZ,Baku,Aliya Khudaverdiyeva,Enterprise,reactivation,PIZZA MIZZA,34648,15003,Pizza Mizza,8.17,1.91
2026-W08,AZ,Baku,Asmar Mirzəyeva,Mid-market,sp_reactivation,MERKEZ LAHMACUN,125678,46131,Merkez Lahmajun,24.28,24.28
2026-W08,AZ,Baku,Elmir Guliyev,Mid-market,reactivation,DINNER DONER,19483,14152,Dinner Doner,5.76,0.0
2026-W08,AZ,Baku,Lala Gulu-Zada,Mid-market,provider_campaign_portal,FISTIK RESTAURANT,109624,77696,FISTIK RESTAURANT Baku,0.0,42.26
2026-W08,AZ,Baku,Elmir Guliyev,Mid-market,provider_campaign_portal,AGABABA,56801,38831,AgaBaba Express Doner,0.0,49.09
2026-W08,AZ,Baku,Shahana Aghayava,SMB,sp_engagement,CAFECHI,151417,17271,Cafechi,9.03,37.75
2026-W08,AZ,Baku,Elnara Nabiyeva,Enterprise,bolt_market_supplier,BRAVO SUPERMARKETS,166397,106302,Bravo Supermarket,0.0,94.39
2026-W08,AZ,Baku,Shahana Aghayava,SMB,sp_engagement,MANQALUSTU,136602,100713,MANQALUSTU DONER,9.03,29.11
2026-W08,AZ,Baku,Elnara Nabiyeva,Enterprise,provider_campaign_retail_growth,BRAVO SUPERMARKETS,166397,106302,Bravo Supermarket,19.79,0.0
2026-W08,AZ,Baku,Elmir Guliyev,Mid-market,provider_campaign_portal,AGABABA,136567,38831,AgaBaba Express Doner,0.0,9.11
2026-W08,AZ,Baku,Shahana Aghayava,SMB,sp_engagement,FOLLOW SUSHI,190743,101436,FOLLOW SUSHI Baku,0.5,0.5
2026-W08,AZ,Nakhchivan,Shahana Aghayava,SMB,activation,KEKLIKOTU RESTORAN,137079,101137,Keklikotu Restoran,3.85,0.0
2026-W08,AZ,Baku,Shahana Aghayava,SMB,sp_reactivation,FOLLOW SUSHI,190743,101436,FOLLOW SUSHI Baku,5.5,5.5
2026-W08,AZ,Baku,Asmar Mirzəyeva,Mid-market,provider_campaign_portal,KOTUK,49197,33952,Kotuk,0.0,23.54
2026-W08,AZ,Baku,Aliya Khudaverdiyeva,Enterprise,activation,KFC,90900,27669,KFC,115.7,49.04
2026-W08,AZ,Baku,Shahana Aghayava,SMB,reactivation,TAM DAD,36994,25830,Tam Dad,12.15,0.0
2026-W08,AZ,Baku,Asmar Mirzəyeva,Mid-market,sp_engagement,OZSUT,35656,24992,Özsüt,21.79,27.37
2026-W08,AZ,Quba,Shahana Aghayava,Mid-market,new_city_launch,KINO KAFE,173602,129499,KINO KAFE Quba,5.28,0.0
2026-W08,AZ,Baku,Aliya Khudaverdiyeva,Enterprise,provider_campaign_portal,KFC,90900,27669,KFC,0.0,36.82
2026-W08,AZ,Quba,Elmir Guliyev,Mid-market,new_city_launch,LUKS DONER,173671,129552,LUKS DONER Quba,31.56,0.0
2026-W08,AZ,Baku,Shahana Aghayava,SMB,sp_engagement,GEORGINIO GEORGIAN RESTAURANT,174351,130088,GEORGINIO GEORGIAN RESTAURANT Baku,10.37,38.2
2026-W08,AZ,Baku,Aliya Khudaverdiyeva,Enterprise,provider_campaign_obligations_commitments,PAPA JOHN'S,83704,56360,Papa Johns,15.02,0.0
2026-W08,AZ,Baku,Aliya Khudaverdiyeva,Enterprise,sp_engagement,PIZZA HUT,35260,24736,Pizza Hut,32.02,37.86
2026-W08,AZ,Baku,Shahana Aghayava,SMB,provider_campaign_portal,NO1 BURGER,109809,77855,No1 burger,0.0,19.06
2026-W08,AZ,Baku,Aliya Khudaverdiyeva,Enterprise,sp_reactivation,PIZZA HUT,35260,24736,Pizza Hut,30.66,30.66
2026-W08,AZ,Baku,Shahana Aghayava,SMB,reactivation,MATBAKH,35158,24682,Matbakh,3.7,0.0
2026-W08,AZ,Baku,Lala Gulu-Zada,Enterprise,sp_engagement,BORANI,22346,16047,Borani,644.33,2226.05
2026-W08,AZ,Baku,Shahana Aghayava,SMB,sp_engagement,SUSHI HOT,87008,59102,Hot Sushi,20.51,70.64
2026-W08,AZ,Baku,Lala Gulu-Zada,Enterprise,sp_reactivation,BORANI,22346,16047,Borani,257.17,257.17
2026-W08,AZ,Baku,Aliya Khudaverdiyeva,Enterprise,provider_campaign_portal,KFC,90901,27669,KFC,0.0,17.65
2026-W08,AZ,Baku,Shahana Aghayava,SMB,sp_reactivation,SUSHI HOT,87008,59102,Hot Sushi,8.51,8.51
2026-W08,AZ,Baku,Lala Gulu-Zada,Enterprise,sp_activation,BORANI,22346,16047,Borani,53.27,53.27
2026-W08,AZ,Baku,Shahana Aghayava,SMB,activation,SUSHI HOT,87008,59102,Hot Sushi,2.0,0.0
2026-W08,AZ,Baku,Shahana Aghayava,SMB,sp_activation,SUSHI HOT,87008,59102,Hot Sushi,18.8,18.8
2026-W08,AZ,Baku,Lala Gulu-Zada,Mid-market,activation,ANADOLU,82330,55388,Anadolu,2.52,0.0
2026-W08,AZ,Baku,Lala Gulu-Zada,Mid-market,provider_campaign_manual_churn_prevention,ANADOLU,82330,55388,Anadolu,77.89,77.89
2026-W08,AZ,Baku,Lala Gulu-Zada,Mid-market,sp_engagement,AJDAHA DONER,16989,12077,Ajdaha Doner,48.17,183.39
2026-W08,AZ,Baku,Aliya Khudaverdiyeva,Enterprise,activation,KFC,118082,27669,KFC,13.28,9.53
2026-W08,AZ,Baku,Aliya Khudaverdiyeva,Enterprise,reactivation,KFC,118082,27669,KFC,69.22,0.0
2026-W08,AZ,Baku,Shahana Aghayava,SMB,reactivation,URFA N1 RESTAURANT,159389,119081,URFA N1 RESTAURANT Baku,2.3,0.0
2026-W08,AZ,Baku,Aliya Khudaverdiyeva,Enterprise,provider_campaign_portal,KFC,118082,27669,KFC,0.0,32.31
2026-W08,AZ,Baku,Elmir Guliyev,Mid-market,reactivation,ZAKUSKA,32409,22772,Zakuska,3.06,0.0
2026-W08,AZ,Nakhchivan,Asmar Mirzəyeva,Mid-market,provider_campaign_portal,FOOD POINT NAKHCHIVAN,185503,98777,Food Point,0.0,167.02
2026-W08,AZ,Baku,Shahana Aghayava,SMB,provider_campaign_portal,QUZU XENGEL AND KABAB,89214,60920,Quzu Xengel and Kabab,0.0,24.56
2026-W08,AZ,Sumqayit,Elmir Guliyev,Mid-market,engagement,OSMANLI,113997,81505,Osmanli Sumgayit Restaurant,0.32,0.0
2026-W08,AZ,Baku,Asmar Mirzəyeva,Mid-market,activation,DONERITTO,167739,39506,Doneritto,1.99,0.0
2026-W08,AZ,Baku,Elmir Guliyev,Mid-market,provider_campaign_portal,YESFRIEDCHICKEN,140415,103802,Yes Fried Chicken,0.0,35.49
2026-W08,AZ,Baku,Aliya Khudaverdiyeva,Enterprise,sp_reactivation,PIZZA HUT,35257,24736,Pizza Hut,40.72,40.72
2026-W08,AZ,Baku,Aliya Khudaverdiyeva,Enterprise,sp_engagement,PIZZA HUT,35257,24736,Pizza Hut,40.85,47.28
2026-W08,AZ,Baku,Aliya Khudaverdiyeva,Enterprise,sp_activation,PIZZA HUT,35257,24736,Pizza Hut,19.82,19.82
2026-W08,AZ,Baku,Shahana Aghayava,SMB,sp_engagement,QUTAB N1,82683,55645,Qutab N1,3.56,10.81
2026-W08,AZ,Baku,Aliya Khudaverdiyeva,Enterprise,liquidity,BURGER KING,172770,60172,Burger King,95.71,0.0
2026-W08,AZ,Baku,Lala Gulu-Zada,Mid-market,sp_engagement,AJDAHA DONER,43968,12077,Ajdaha Doner,42.83,165.83
2026-W08,AZ,Quba,Elmir Guliyev,Mid-market,new_city_launch,MEYDAN DONER,173658,129540,MEYDAN DONER Quba,32.6,0.0
2026-W08,AZ,Baku,Lala Gulu-Zada,Mid-market,engagement,AJDAHA DONER,43968,12077,Ajdaha Doner,1.2,3.6
2026-W08,AZ,Baku,Aliya Khudaverdiyeva,Enterprise,activation,BURGER KING,172770,60172,Burger King,19.24,0.0
2026-W08,AZ,Baku,Lala Gulu-Zada,Mid-market,sp_reactivation,AJDAHA DONER,43968,12077,Ajdaha Doner,16.84,16.84
2026-W08,AZ,Baku,Lala Gulu-Zada,Enterprise,sp_engagement,BORANI,73965,16047,Borani,49.94,196.77
2026-W08,AZ,Baku,Asmar Mirzəyeva,Mid-market,liquidity,HAZZ GROUP,188414,84672,HAZZ GROUP Baku,7.51,0.0
2026-W08,AZ,Baku,Aliya Khudaverdiyeva,Enterprise,engagement,MCDONALD'S,187991,140036,MCDONALD'S Baku,0.64,0.0
2026-W08,AZ,Baku,Asmar Mirzəyeva,Mid-market,provider_campaign_portal,KONG SUSHI,26679,18967,Kong Sushi,0.0,118.65
2026-W08,AZ,Baku,Aliya Khudaverdiyeva,Enterprise,provider_campaign_obligations_commitments,MCDONALD'S,187991,140036,MCDONALD'S Baku,20.7,0.0
2026-W08,AZ,Baku,Aliya Khudaverdiyeva,Enterprise,activation,KFC,91133,27669,KFC,5.24,2.09
2026-W08,AZ,Baku,Lala Gulu-Zada,Mid-market,provider_campaign_manual_churn_prevention,CUPPA COFFEE,39240,27210,Cuppa Coffee,6.29,22.6
2026-W08,AZ,Baku,Shahana Aghayava,SMB,reactivation,BEEF TANTUNI AZADLIQ,163775,122421,BEEF TANTUNI AZADLIQ Baku,1.52,0.0
2026-W08,AZ,Baku,Aliya Khudaverdiyeva,Enterprise,reactivation,MCDONALD'S,187991,140036,MCDONALD'S Baku,9.96,0.0
2026-W08,AZ,Baku,Lala Gulu-Zada,Enterprise,sp_reactivation,BORANI,73965,16047,Borani,27.42,27.42
2026-W08,AZ,Baku,Asmar Mirzəyeva,Mid-market,activation,PIZZALAB,71944,48185,PizzaLab,0.65,0.65
2026-W08,AZ,Baku,Asmar Mirzəyeva,Mid-market,sp_engagement,PIZZALAB,71944,48185,PizzaLab,32.63,102.66
2026-W08,AZ,Baku,Shahana Aghayava,SMB,provider_campaign_portal,STAR PIZZA,112431,80125,Star Pizza,0.0,61.48
2026-W08,AZ,Nakhchivan,Elmir Guliyev,Mid-market,sp_engagement,ISI FOOD,143662,106693,Isi Food,23.93,82.86
2026-W08,AZ,Baku,Asmar Mirzəyeva,Mid-market,sp_activation,PIZZALAB,71944,48185,PizzaLab,9.24,9.24
2026-W09,AZ,Baku,Asmar Mirzəyeva,Mid-market,provider_campaign_portal,ATABEY CHIG KOFTE,77034,22455,Atabey Chig Kofte,0.0,18.58
2026-W09,AZ,Baku,Lala Gulu-Zada,Mid-market,provider_campaign_manual_churn_prevention,CUPPA COFFEE,158106,27210,Cuppa Coffee,0.0,10.83
2026-W09,AZ,Baku,Aliya Khudaverdiyeva,Enterprise,sp_engagement,PIZZA HUT,115683,24736,Pizza Hut,26.1,34.41
2026-W09,AZ,Baku,Aliya Khudaverdiyeva,Enterprise,reactivation,PIZZA HUT,109778,24736,Pizza Hut,6.11,0.0
2026-W09,AZ,Baku,Aliya Khudaverdiyeva,Enterprise,provider_campaign_manual_churn_prevention,PIZZA HUT,115683,24736,Pizza Hut,11.69,11.69
2026-W09,AZ,Baku,Aliya Khudaverdiyeva,Enterprise,provider_campaign_manual_churn_prevention,PIZZA HUT,109778,24736,Pizza Hut,25.97,25.97
2026-W09,AZ,Baku,Aliya Khudaverdiyeva,Enterprise,sp_engagement,PIZZA HUT,109778,24736,Pizza Hut,56.87,59.56
2026-W09,AZ,Baku,Aliya Khudaverdiyeva,Enterprise,sp_reactivation,PIZZA HUT,109778,24736,Pizza Hut,73.05,73.05
2026-W09,AZ,Baku,Lala Gulu-Zada,Mid-market,reactivation,QOCH ET,22916,16086,Qoch Et,2.45,0.0
2026-W09,AZ,Baku,Aliya Khudaverdiyeva,Enterprise,sp_reactivation,PIZZA HUT,115683,24736,Pizza Hut,54.26,54.26
2026-W09,AZ,Baku,Aliya Khudaverdiyeva,Enterprise,sp_activation,PIZZA HUT,115683,24736,Pizza Hut,4.57,4.57
2026-W09,AZ,Baku,Aliya Khudaverdiyeva,Enterprise,reactivation,PIZZA MIZZA,34648,15003,Pizza Mizza,8.98,8.98
2026-W09,AZ,Baku,Asmar Mirzəyeva,Mid-market,sp_engagement,MERKEZ LAHMACUN,125678,46131,Merkez Lahmajun,77.56,299.4
2026-W09,AZ,Baku,Asmar Mirzəyeva,Mid-market,provider_campaign_portal,MERKEZ LAHMACUN,125678,46131,Merkez Lahmajun,0.0,170.28
2026-W09,AZ,Baku,Shahana Aghayava,SMB,reactivation,XENGELOVE,29649,14852,Xengelove,7.88,0.0
2026-W09,AZ,Sumqayit,Shahana Aghayava,SMB,provider_campaign_portal,OYY LAHMAJUU,164767,123149,OYY LAHMAJUU Sumqayit,0.0,139.53
