weeks,Country,City,account_manager_name,business_segment,spend_objective,brand_name,provider_id,vendor_id,vendor_name,bolt_spend,provider_spend
2026-W05,BG,Sofia,Elina Panayotova,Mid-market,activation,DONERMAN,161273,120590,DONERMAN Sofia,21.11,0.0
2026-W03,BG,Sofia,Elina Panayotova,Mid-market,engagement,GEVREK BAGELS SOFIA,155486,115971,GEVREK BAGELS SOFIA Sofia,49.65,0.0
2026-W07,BG,Sofia,Elina Panayotova,Mid-market,reactivation,ARNOLD FOOD,156619,115933,ARNOLD FOOD Sofia,47.43,0.0
2026-W02,BG,Sofia,Mario Gyurov,Enterprise,sp_new_city_launch,BURGER KING,152106,113264,BURGER KING Sofia,469.7,256.58
2026-W02,BG,Sofia,Elina Panayotova,Mid-market,engagement,TERA BURGERS,151866,113067,TERA BURGERS Sofia,16.89,0.0
2026-W02,BG,Sofia,Mario Gyurov,Enterprise,activation,GYRO LAND SOFIA,165215,123413,GYRO LAND SOFIA Sofia,47.65,0.0
2026-W10,BG,Sofia,Mario Gyurov,Mid-market,sp_engagement,BUN BROTHERS,162864,121740,BUN BROTHERS Sofia,418.72,279.14
2026-W10,BG,Sofia,Mario Gyurov,Mid-market,activation,SHAHRAYAR PREMIUM,151759,112995,SHAHRAYAR PREMIUM Sofia,59.52,0.0
2026-W10,BG,Sofia,Ralitsa Tomova,SMB,reactivation,GYROS PLANET,173659,129541,GYROS PLANET Sofia,39.23,0.0
2026-W10,BG,Sofia,Elina Panayotova,Mid-market,reactivation,RIBS BROTHERS,148406,107099,RIBS BROTHERS Sofia,20.1,0.0
2026-W10,BG,Sofia,Mario Gyurov,Enterprise,sp_reactivation,SKAPTO BURGERS & FRIES,155889,110533,SKAPTO BURGERS & FRIES  SOFIA Sofia,25.69,17.13
2026-W10,BG,Sofia,Elina Panayotova,Mid-market,activation,SKARABAR,147178,108586,SKARABAR Sofia,9.31,0.0
2026-W04,BG,Sofia,Elina Panayotova,Mid-market,reactivation,SASAGURI,157680,117395,SASAGURI Sofia,22.67,0.0
2026-W04,BG,Sofia,Elina Panayotova,Mid-market,engagement,PRI MAISTOR IBO,167487,115580,PRI MAISTOR IBO Sofia,5.25,0.0
2026-W11,BG,Sofia,Elina Panayotova,Mid-market,engagement,PITA GYROS,152074,113243,PITA GYROS Sofia,121.35,0.0
2026-W11,BG,Sofia,Elina Panayotova,Mid-market,sp_activation,VETRILO,143935,107024,VETRILO Sofia,45.64,11.79
2026-W11,BG,Sofia,Elina Panayotova,Mid-market,sp_engagement,SUSHI JOINT,165259,123459,SUSHI JOINT Sofia,95.1,63.4
2026-W11,BG,Sofia,Mario Gyurov,Enterprise,activation,MCDONALD’S®,165422,108185,MCDONALD’S® Sofia,288.03,0.0
2026-W11,BG,Sofia,Elina Panayotova,Mid-market,engagement,KAFANA STEFANOVICH,149962,111615,KAFANA STEFANOVICH Sofia,31.09,0.0
2026-W04,BG,Sofia,Mario Gyurov,Enterprise,activation,SKAPTO BURGERS & FRIES,148681,110533,SKAPTO BURGERS & FRIES  SOFIA Sofia,15.6,0.0
2026-W04,BG,Sofia,Elina Panayotova,Mid-market,engagement,PANTASTIC PANCAKES SOF,146726,109061,PANTASTIC PANCAKES SOF Sofia,1.23,0.0
2026-W04,BG,Sofia,Elina Panayotova,Mid-market,reactivation,FU EN YUAN,144065,107137,FU EN YUAN Sofia,19.1,0.0
2026-W07,BG,Sofia,Mario Gyurov,Mid-market,engagement,STREET CHEFS,173636,129373,STREET CHEFS Sofia,33.13,0.0
2026-W11,BG,Sofia,Elina Panayotova,Mid-market,reactivation,VETRILO,143993,107024,VETRILO Sofia,52.23,0.0
2026-W08,BG,Sofia,Elina Panayotova,Mid-market,activation,THE HOLY SMOKES,173318,129288,THE HOLY SMOKES Sofia,46.92,0.0
2026-W08,BG,Sofia,Mario Gyurov,Mid-market,sp_reactivation,MACHETE MEX GRILL,182008,135459,MACHETE MEX GRILL Sofia,43.04,28.7
