weeks,Country,City,account_manager_name,business_segment,spend_objective,brand_name,provider_id,vendor_id,vendor_name,bolt_spend,provider_spend
2026-W07,KE,Nairobi,Michael Karigithu,Enterprise,provider_campaign_exclusivity_gain,PIZZA INN,102326,69538,SIMBISA BRANDS Nairobi,4.09,6.86
2026-W07,KE,Nairobi,Sharon Chebet,SMB,sp_engagement,BUDDIES CHOMA PLACE,120652,87122,Buddies Choma Place ,3.97,11.91
2026-W10,KE,Nairobi,Michael Karigithu,Enterprise,provider_campaign_marketing,ARTCAFFE,41307,15278,& Artcaffe Coffee & Bakery Limited,0.0,22.39
2026-W10,KE,Nairobi,Sharon Chebet,SMB,sp_engagement,CHEFRON SPICE,149577,111293,Shree Vegi Veg,2.01,6.02
2026-W10,KE,Nairobi,Sharon Chebet,SMB,provider_marketing_calendar_global_event,EXPRESS CHINESE RESTAURANT,159939,34251,&Chinese Pot Kitchen,0.0,4.83
2026-W10,KE,Nairobi,Sharon Chebet,SMB,activation,SOFT LIFE FAST FOODS,82981,55874,&Soft Life Fast Foods,1.43,0.0
2026-W11,KE,Nairobi,Wambui Kogi,Mid-market,provider_campaign_portal,RISH BARBEQUE,47375,32817,& RISH BARBEQUE LTD,0.0,77.94
2026-W11,KE,Nairobi,Kevin Wawire,Mid-market,activation,PEDROS FLAME GRILLED CHICKEN,145066,107958,Pedros,14.7,0.0
2026-W11,KE,Nairobi,Sharon Chebet,SMB,activation,HOME CAFE RESTAURANT,109493,77609,HomeCafeRestaurant,0.81,0.0
2026-W11,KE,Nairobi,Sharon Chebet,SMB,engagement,CINNAMON CAFE,143497,106508,CINNAMON CAFE Nairobi,4.65,4.65
2026-W11,KE,Nairobi,Michael Karigithu,Enterprise,provider_campaign_exclusivity_gain,JAVA HOUSE,23343,16728,&Nairobi Java House Limited,3.01,0.0
2026-W11,KE,Nairobi,Michael Karigithu,Enterprise,activation,PIZZA INN,102293,69538,SIMBISA BRANDS Nairobi,3.31,0.0
2026-W07,KE,Nairobi,Sharon Chebet,SMB,sp_reactivation,GOLDEN WOK RESTAURANT,84252,56867,Golden wok Restaurant,0.18,0.34
2026-W09,KE,Nairobi,Sharon Chebet,SMB,sp_engagement,SA'GENE CAFESERIE,143771,106842,Sa'Gene Cafeserie,1.89,3.5
2026-W09,KE,Nairobi,Sharon Chebet,SMB,activation,BEER OCEAN RESORT,128847,63232,&Oklahoma Choma Zone,4.1,0.0
2026-W09,KE,Nairobi,Michael Karigithu,Enterprise,provider_campaign_exclusivity_gain,ARTCAFFE,86751,15278,& Artcaffe Coffee & Bakery Limited,0.59,0.0
2026-W06,KE,Nairobi,Michael Karigithu,Enterprise,provider_campaign_marketing,PIZZA INN,102392,69538,SIMBISA BRANDS Nairobi,0.0,29.84
2026-W06,KE,Nairobi,Wambui Kogi,Mid-market,provider_campaign_portal,CHOPIT EXPRESS,96871,45304,&ChopIt Express,0.0,16.51
2026-W06,KE,Nairobi,Sharon Chebet,SMB,sp_fully_funded,KABUDAS KITCHEN,9061,6535,&Kabuda's Kitchen,0.0,2.98
2026-W08,KE,Nairobi,Sharon Chebet,SMB,engagement,CHECKERS,48808,28969,&Checkers Restaurant,3.35,3.35
2026-W08,KE,Nairobi,Michael Karigithu,Enterprise,activation,KFC,50770,12025,&Kuku Foods/KFC,4.44,0.0
2026-W05,KE,Nairobi,Wambui Kogi,Mid-market,provider_campaign_exclusivity_gain,CHOWPATY,15795,11465,&Chowpaty Fast Food,327.08,634.93
2026-W05,KE,Nairobi,Sharon Chebet,SMB,sp_reactivation,BOON RESTAURANT,40092,27725,&Boon Restaurant,0.4,1.19
2026-W09,KE,Nairobi,Sharon Chebet,SMB,activation,URBAN DELIGHTS,188478,140423,URBAN DELIGHTS Nairobi,3.47,0.0
2026-W09,KE,Nairobi,Sharon Chebet,SMB,provider_campaign_ELC_merchant,BALKAN GRILL HOUSE,188091,34160,&Region Restaurant,3.46,0.0
2026-W09,KE,Nairobi,Sharon Chebet,SMB,sp_activation,GOLDEN WOK RESTAURANT,84252,56867,Golden wok Restaurant,1.66,3.07
2026-W06,KE,Nairobi,Sharon Chebet,SMB,provider_campaign_portal,LAM LAMS PIZZA,26308,18731,& Lam Lam's Pizza Place (Renamed from Nene's Pizza),0.0,44.08
2026-W06,KE,Nairobi,Michael Karigithu,Enterprise,provider_campaign_marketing,PIZZA INN,102379,69538,SIMBISA BRANDS Nairobi,0.0,13.41
2026-W06,KE,Nairobi,Kevin Wawire,Mid-market,activation,CHICKING,176263,130956,CHICKING Nairobi,1.97,0.0
2026-W04,KE,Nairobi,Michael Karigithu,Enterprise,provider_campaign_exclusivity_prevention,JAVA HOUSE,23344,16728,&Nairobi Java House Limited,9.68,0.0
2026-W04,KE,Nairobi,Michael Karigithu,Enterprise,provider_campaign_exclusivity_prevention,PIZZA INN,102307,69538,SIMBISA BRANDS Nairobi,2.96,0.0
2026-W08,KE,Nairobi,Kevin Wawire,Mid-market,provider_campaign_churn_prevention,HARVEST RESTAURANT,139039,50908,& TRIBE HOTEL LIMITED,0.2,0.0
2026-W08,KE,Nairobi,Wambui Kogi,Mid-market,provider_campaign_marketing,BIG SQUARE,18962,13775,& Interstrat Ltd,1.25,1.25
2026-W03,KE,Nairobi,Kevin Wawire,SMB,sp_engagement,MASHAALLAH,67419,8836,&The Chef House,0.52,1.57
2026-W03,KE,Nairobi,Michael Karigithu,Enterprise,provider_campaign_marketing,PIZZA INN,102406,69538,SIMBISA BRANDS Nairobi,0.0,40.65
2026-W03,KE,Nairobi,Sharon Chebet,SMB,sp_engagement,BWIBO DISHES,56914,38906,& Bwibo Dishes,1.91,5.74
2026-W03,KE,Nairobi,Kevin Wawire,Mid-market,provider_campaign_portal,MEZZA,113956,34792,&Mezza Foods Limited,0.0,76.58
2026-W03,KE,Nairobi,Wambui Kogi,Mid-market,provider_campaign_exclusivity_prevention,PIZZA MOJO,18970,13775,& Interstrat Ltd,1.8,0.0
2026-W03,KE,Nairobi,Sharon Chebet,SMB,sp_reactivation,SKYLINE PIZZA,105450,74097,SKYLINE PIZZA Nairobi,0.59,1.1
2026-W03,KE,Nairobi,Michael Karigithu,Enterprise,provider_campaign_exclusivity_prevention,PIZZA INN,102497,69538,SIMBISA BRANDS Nairobi,2.0,0.0
2026-W09,KE,Nairobi,Sharon Chebet,SMB,activation,SHAYONA VEGETARIAN,66568,44785,BAPS Shayona Nairobi Limited,9.11,0.0
2026-W04,KE,Nairobi,Michael Karigithu,Enterprise,provider_campaign_exclusivity_prevention,SUBZ,32675,22703,& Liberty Eagle (K) Ltd,3.19,1.41
2026-W04,KE,Nairobi,Sharon Chebet,SMB,sp_reactivation,BWIBO DISHES,56914,38906,& Bwibo Dishes,0.99,2.96
2026-W06,KE,Nairobi,Sharon Chebet,SMB,activation,PORKSITE GRILLS KSTVET,183083,136302,PORKSITE GRILLS KSTVET Nairobi,1.47,0.0
2026-W09,KE,Nairobi,Michael Karigithu,Enterprise,activation,JAVA HOUSE,38346,16728,&Nairobi Java House Limited,1.31,0.0
2026-W11,KE,Nairobi,Wambui Kogi,Mid-market,provider_campaign_marketing,MC FRYS,26406,18322,&Mc Fry's,0.0,4.02
2026-W05,KE,Nairobi,Michael Karigithu,Enterprise,provider_campaign_marketing,DOMINO'S,97680,19515,& Eat N Go/ Cold Stone,0.0,4.86
